date,is_holiday,holiday_name,is_release_day,marketing_campaign,expected_revenue_multiplier
2025-10-01,0,,0,,1.0
2025-10-02,0,,0,,1.0
2025-10-03,0,,0,,1.0
2025-10-04,0,,0,,1.0
2025-10-05,0,,0,,1.0
2025-10-06,0,,0,,1.0
2025-10-07,0,,0,,1.0
2025-10-08,0,,0,,1.0
2025-10-09,0,,0,,1.0
2025-10-10,0,,0,,1.0
2025-10-11,0,,0,,1.0
2025-10-12,0,,0,,1.0
2025-10-13,0,,0,,1.0
2025-10-14,0,,0,,1.0
2025-10-15,0,,0,,1.0
2025-10-16,0,,0,,1.0
2025-10-17,0,,0,,1.0
2025-10-18,0,,0,,1.0
2025-10-19,0,,0,,1.0
2025-10-20,0,,1,,1.0
2025-10-21,0,,0,,1.0
2025-10-22,0,,0,,1.0
2025-10-23,0,,0,,1.0
2025-10-24,0,,0,,1.0
2025-10-25,0,,0,,1.0
2025-10-26,0,,0,,1.0
2025-10-27,0,,0,,1.0
2025-10-28,0,,0,,1.0
2025-10-29,0,,0,,1.0
2025-10-30,0,,0,,1.0
2025-10-31,1,Halloween,0,,1.1
2025-11-01,0,,0,November Sale,1.2
2025-11-02,0,,0,November Sale,1.2
2025-11-03,0,,0,November Sale,1.2
2025-11-04,0,,0,November Sale,1.2
2025-11-05,0,,0,November Sale,1.2
2025-11-06,0,,0,November Sale,1.2
2025-11-07,0,,0,November Sale,1.2
2025-11-08,0,,0,November Sale,1.2
2025-11-09,0,,0,November Sale,1.2
2025-11-10,0,,0,November Sale,1.2
2025-11-11,1,Veterans Day,0,,1.0
2025-11-12,0,,0,,1.0
2025-11-13,0,,0,,1.0
2025-11-14,0,,0,,1.0
2025-11-15,0,,0,,1.0
2025-11-16,0,,0,,1.0
2025-11-17,0,,0,,1.0
2025-11-18,0,,0,,1.0
2025-11-19,0,,0,,1.0
2025-11-20,0,,0,,1.0
2025-11-21,0,,0,,1.0
2025-11-22,0,,0,,1.0
2025-11-23,0,,0,,1.0
2025-11-24,0,,0,Black Friday Week,3.0
2025-11-25,0,,0,Black Friday Week,3.0
2025-11-26,0,,0,Black Friday Week,3.0
2025-11-27,1,Thanksgiving,0,Black Friday Week,3.0
2025-11-28,1,Black Friday,0,Black Friday Week,4.5
2025-11-29,0,,0,Black Friday Week,3.0
2025-11-30,0,,0,Black Friday Week,3.0
2025-12-01,1,Cyber Monday,0,Cyber Week,2.5
2025-12-02,0,,0,Cyber Week,2.0
2025-12-03,0,,0,Cyber Week,2.0
2025-12-04,0,,0,Cyber Week,2.0
2025-12-05,0,,0,Cyber Week,2.0
2025-12-06,0,,0,,1.0
2025-12-07,0,,0,,1.0
2025-12-08,0,,0,,1.0
2025-12-09,0,,0,,1.0
2025-12-10,0,,1,,1.0
2025-12-11,0,,0,,1.0
2025-12-12,0,,0,,1.0
2025-12-13,0,,0,,1.0
2025-12-14,0,,0,,1.0
2025-12-15,0,,0,Christmas Campaign,1.8
2025-12-16,0,,0,Christmas Campaign,1.8
2025-12-17,0,,0,Christmas Campaign,1.8
2025-12-18,0,,0,Christmas Campaign,1.8
2025-12-19,0,,0,Christmas Campaign,1.8
2025-12-20,0,,0,Christmas Campaign,1.8
2025-12-21,0,,0,Christmas Campaign,1.8
2025-12-22,0,,0,Christmas Campaign,1.8
2025-12-23,0,,0,Christmas Campaign,1.8
2025-12-24,1,Christmas Eve,0,,2.8
2025-12-25,1,Christmas Day,0,,2.8
2025-12-26,1,Boxing Day,0,,0.5
2025-12-27,0,,0,,1.0
2025-12-28,0,,0,,1.0
2025-12-29,0,,0,,1.0
2025-12-30,0,,0,,1.0
2025-12-31,1,New Year Eve,0,,0.6
