date,revenue_usd,orders_count,avg_order_value_usd,customer_churn_rate,support_tickets,ai_feature_usage_rate
2025-10-01,17548,321,54.67,0.0231,18,0.1356
2025-10-02,16761,367,45.67,0.0241,21,0.1908
2025-10-03,16274,297,54.79,0.0238,13,0.1382
2025-10-04,11240,233,48.24,0.0217,12,0.1491
2025-10-05,12268,264,46.47,0.02,13,0.1656
2025-10-06,19026,404,47.09,0.0216,23,0.1246
2025-10-07,18387,393,46.79,0.0185,26,0.2166
2025-10-08,19110,397,48.14,0.0187,24,0.164
2025-10-09,16639,333,49.97,0.0182,22,0.1459
2025-10-10,18585,386,48.15,0.0216,21,0.1385
2025-10-11,13127,248,52.93,0.0246,16,0.1798
2025-10-12,13012,283,45.98,0.0194,11,0.1525
2025-10-13,17599,368,47.82,0.0238,18,0.1481
2025-10-14,18153,391,46.43,0.0236,16,0.2187
2025-10-15,18980,403,47.1,0.018,25,0.1907
2025-10-16,18824,357,52.73,0.0185,18,0.1316
2025-10-17,19307,376,51.35,0.0203,15,0.1511
2025-10-18,11580,221,52.4,0.0225,14,0.1672
2025-10-19,11087,212,52.3,0.0233,12,0.1971
2025-10-20,17977,357,50.36,0.021,56,0.1308
2025-10-21,16313,317,51.46,0.0202,68,0.2108
2025-10-22,17097,348,49.13,0.0233,64,0.1277
2025-10-23,17243,369,46.73,0.0245,23,0.1833
2025-10-24,19337,364,53.12,0.0193,24,0.1739
2025-10-25,12737,236,53.97,0.0202,10,0.1428
2025-10-26,11825,222,53.27,0.024,8,0.1711
2025-10-27,17702,374,47.33,0.0188,18,0.2143
2025-10-28,17363,345,50.33,0.0641,17,0.2172
2025-10-29,19664,413,47.61,0.0602,20,0.1485
2025-10-30,16332,319,51.2,0.0602,13,0.1479
2025-10-31,19469,410,47.49,0.0532,22,0.2186
2025-11-01,11380,220,51.73,0.0233,10,0.1928
2025-11-02,11682,227,51.46,0.0224,12,0.129
2025-11-03,19207,398,48.26,0.0193,16,0.1791
2025-11-04,18639,412,45.24,0.0216,19,0.1845
2025-11-05,2524,48,51.94,0.0207,132,0.1338
2025-11-06,17427,377,46.23,0.0245,25,0.1458
2025-11-07,18575,349,53.22,0.0219,19,0.1442
2025-11-08,11023,204,54.03,0.0243,12,0.1539
2025-11-09,11638,222,52.42,0.0243,14,0.198
2025-11-10,18511,403,45.93,0.0191,26,0.1806
2025-11-11,16233,352,46.12,0.0226,14,0.1361
2025-11-12,18175,350,51.93,0.0226,16,0.1912
2025-11-13,17054,353,48.31,0.0232,20,0.2049
2025-11-14,18567,366,50.73,0.0187,18,0.1465
2025-11-15,11385,208,54.74,0.0208,13,0.1831
2025-11-16,12707,254,50.03,0.022,13,0.1395
2025-11-17,18800,393,47.84,0.0182,23,0.1377
2025-11-18,19585,359,54.55,0.0244,18,0.1215
2025-11-19,19541,396,49.35,0.0248,27,0.2053
2025-11-20,22438,459,48.88,0.024,22,0.1369
2025-11-21,23665,435,54.4,0.0229,24,0.1297
2025-11-22,15958,290,55.03,0.019,16,0.2077
2025-11-23,16351,314,52.07,0.0229,15,0.1494
2025-11-24,24847,467,53.21,0.0241,31,0.1711
2025-11-25,23407,441,53.08,0.0225,26,0.1996
2025-11-26,25225,521,48.42,0.0206,22,0.1778
2025-11-27,21228,427,49.71,0.0218,20,0.1791
2025-11-28,73394,1617,45.39,0.0238,82,0.1327
2025-11-29,15669,297,52.76,0.0195,17,0.1285
2025-11-30,14201,282,50.36,0.0218,16,0.1926
2025-12-01,31540,628,50.22,0.0203,40,0.1471
2025-12-02,28448,621,45.81,0.0182,42,0.2036
2025-12-03,29928,609,49.14,0.0192,27,0.145
2025-12-04,29083,557,52.21,0.0226,26,0.2155
2025-12-05,30170,596,50.62,0.0223,31,0.1448
2025-12-06,18646,354,52.67,0.0181,15,0.1246
2025-12-07,17436,325,53.65,0.0229,17,0.1298
2025-12-08,28751,578,49.74,0.0192,30,0.1599
2025-12-09,29467,573,51.43,0.0183,29,0.1826
2025-12-10,29210,538,53.57,0.0226,24,0.2796
2025-12-11,29212,512,50.92,0.0246,29,0.3494
2025-12-12,29967,566,50.46,0.0246,29,0.4754
2025-12-13,19551,394,45.76,0.0187,15,0.2847
2025-12-14,18781,364,48.22,0.0239,14,0.4431
2025-12-15,29674,511,52.05,0.0224,33,0.4257
2025-12-16,27544,588,46.84,0.0233,37,0.2191
2025-12-17,28296,580,48.79,0.0234,29,0.2131
2025-12-18,30864,626,49.3,0.0233,39,0.1303
2025-12-19,31118,621,50.11,0.0238,30,0.2096
2025-12-20,18774,416,45.13,0.0243,17,0.1519
2025-12-21,20928,383,54.64,0.022,22,0.1648
2025-12-22,27608,571,48.35,0.0227,35,0.1992
2025-12-23,30468,663,45.95,0.0215,27,0.175
2025-12-24,49810,924,53.91,0.0205,40,0.1343
2025-12-25,53036,1036,51.19,0.0187,44,0.1901
2025-12-26,8230,154,53.44,0.0229,6,0.1285
2025-12-27,6583,135,48.76,0.0206,8,0.2147
2025-12-28,6583,125,52.66,0.0206,5,0.1977
2025-12-29,9105,184,49.48,0.0243,7,0.1693
2025-12-30,8120,163,49.82,0.0184,7,0.1318
2025-12-31,9268,176,52.66,0.0221,12,0.1575
